Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Out_of_Sequence,Test_Year,Test_Month,Test_Day
6,11,201,7.0,2.0,2.0,3.0,0.0,0.0,0.0,0,290304,288,3168
6,11,202,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,1,101,15.0,12.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,1,201,16.0,9.0,4.0,3.0,0.0,0.0,0.0,0,324576,322,3864
1,1,202,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,2,101,20.0,12.0,3.0,5.0,0.0,0.0,0.0,0,324576,322,3864
1,2,102,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,2,201,17.0,9.0,3.0,5.0,0.0,0.0,0.0,0,324576,322,3864
1,2,202,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,3,101,17.0,10.0,3.0,0.0,4.0,0.0,0.0,0,324576,322,3864
1,3,102,14.0,11.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,3,201,16.0,9.0,4.0,0.0,3.0,0.0,0.0,0,324576,322,3864
1,3,202,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,4,101,18.0,10.0,3.0,0.0,5.0,0.0,0.0,0,324576,322,3864
1,4,102,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,4,201,16.0,9.0,3.0,0.0,4.0,0.0,0.0,0,324576,322,3864
1,4,202,14.0,13.0,1.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,5,101,16.0,10.0,2.0,0.0,4.0,0.0,0.0,0,324576,322,3864
1,5,102,14.0,13.0,1.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,5,201,34.0,23.0,6.0,0.0,5.0,0.0,0.0,0,324576,322,3864
1,5,202,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,6,101,16.0,9.0,3.0,0.0,4.0,0.0,0.0,0,324576,322,3864
1,6,102,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,6,201,28.0,17.0,5.0,0.0,6.0,0.0,0.0,0,324576,322,3864
1,6,202,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,7,101,22.0,18.0,2.0,0.0,2.0,0.0,0.0,0,324576,322,3864
1,7,201,26.0,11.0,7.0,0.0,5.0,0.0,0.0,0,324576,322,3864
